縣市,名稱,電話,地址,立案時間
臺北市,臺北市私立高階兒童課後照顧服務中心,(02)2395-5709,臺北市中正區濟南路2段62巷10號1樓,102/08/12
臺北市,臺北市私立吉而斯兒童課後照顧服務中心,(02)2594-0930、2595-4411,臺北市大同區酒泉街135號2樓,101/12/13
臺北市,臺北市私立青青兒童課後照顧服務中心,(02)2553-9333,臺北市大同區民權西路160巷28號2樓,102/08/19
臺北市,臺北市私立阿凡橋兒童課後照顧服務中心,(02)2592-6840,臺北市大同區重慶北路3段257巷5號1、2樓,102/10/31
臺北市,臺北市私立海格斯兒童課後照顧服務中心,(02)2553-5198、2666-5573,臺北市大同區延平北路2段278號3樓之1,102/12/10
臺北市,臺北市私立啓笛兒童課後照顧服務中心,(02)2568-2823 ,臺北市中山區吉林路103號2樓,102/04/08
臺北市,臺北市私立大衛王兒童課後照顧服務中心,(02)2502-8169,臺北市中山區龍江路377巷20之 1號1樓,102/06/24
臺北市,臺北市私立立智兒童課後照顧服務中心,(02)2596-4546,臺北市中山區德惠街158號1樓,102/08/15
臺北市,臺北市私立至優兒童課後照顧服務中心,(02)2581-6200、2581-5670,臺北市中山區長春路99號1、2樓,102/10/02
臺北市,臺北市私立翰聲兒童課後照顧服務中心,(02)8501-2580,臺北市中山區堤頂大道2段376及378號1、2樓,102/11/28
臺北市,臺北市私立艾立卡兒童課後照顧服務中心,(02)8502-0908,臺北市中山區基湖路120巷30弄28號1、2、3樓,102/12/05
臺北市,臺北市私立欣兒園兒童課後照顧服務中心,(02)8502-1515,臺北市中山區堤頂大道2段346號1、2樓,109/09/08
臺北市,國際蒙特梭利教育事業股份有限公司附設臺北市私立國際課程兒童課後照顧服務中心,(02)8502-1521,臺北市中山區樂群二路126號3樓,110/05/06
臺北市,臺北市私立鍾老師兒童課後照顧服務中心,(02)2764-3535,臺北市松山區三民路167巷16號1樓,102/04/12
臺北市,臺北市私立吳老師兒童課後照顧服務中心,(02)2764-2904,臺北市松山區八德路4段194號2樓,102/05/17
臺北市,臺北市私立美德堡兒童課後照顧服務中心,(02)2777-3235,臺北市松山區八德路2段437巷10弄8號1樓,102/07/19
臺北市,臺北市私立名星兒童課後照顧服務中心,(02)2762-2069,臺北市松山區三民路166巷3號1樓,102/08/28
臺北市,臺北市私立愛兒兒童課後照顧服務中心,(02)2719-3596,臺北市松山區民生東路4段80巷7之6號、7之7號1樓,102/09/02
臺北市,臺北市私立加佳兒童課後照顧服務中心,(02)2769-7343 ,臺北市松山區南京東路5段123巷2弄28號1樓,102/09/02
臺北市,臺北市私立樓蘭兒童課後照顧服務中心,(02)8787-0638,臺北市松山區富錦街373號1樓,102/09/04
臺北市,臺北市私立牧童兒童課後照顧服務中心,(02)2763-5570、2756-4209,臺北市松山區富錦街359巷2弄46號1樓,102/09/04
臺北市,臺北市私立親親兒童課後照顧服務中心,(02)2717-7053,臺北市松山區民生東路4段80巷1弄5號1樓,102/09/12
臺北市,臺北市私立立欣兒童課後照顧服務中心,(02)2715-4473,臺北市松山區民生東路4段112巷1弄10號1樓,102/10/14
臺北市,臺北市私立天喜兒童課後照顧服務中心,(02)2767-2568 ,臺北市松山區富錦街574巷3、5號1樓,102/11/06
臺北市,臺北市私立親親民生兒童課後照顧服務中心,(02)2717-7053,臺北市松山區民生東路4段80巷1弄7號1樓,103/10/16
臺北市,臺北市私立睿智兒童課後照顧服務中心,(02)2715-1177分機25,臺北市松山區光復北路230巷29號1樓,109/05/27
臺北市,臺北市私立芝蔴愛愛兒童課後照顧服務中心,(02)8773-6099,臺北市大安區光復南路268號2樓,102/07/17
臺北市,臺北市私立芝蔴愛愛學園兒童課後照顧服務中心,(02)8773-6100,臺北市大安區光復南路268號3樓,102/07/17
臺北市,臺北市私立童心兒童課後照顧服務中心,(02)2732-0003,臺北市大安區樂業街186號1樓,102/07/24
臺北市,臺北市私立楓樹兒童課後照顧服務中心,(02)8773-6622、8773-4070,臺北市大安區光復南路262號2樓之1,102/07/25
臺北市,臺北市私立富陽兒童課後照顧服務中心,(02)2732-9984,臺北市大安區和平東路3段308巷39弄24號1樓,102/08/01
臺北市,臺北市私立長春藤兒童課後照顧服務中心,(02)2700-2248,臺北市大安區安和路1段78巷13號1樓,102/08/13
臺北市,臺北市私立史丹福兒童課後照顧服務中心,(02)2341-3418,臺北市大安區金山南路2段185巷19號1樓,102/09/13
臺北市,臺北市私立哈佛兒童課後照顧服務中心,(02)2341-6206,臺北市大安區金山南路2段185巷19號2樓,102/09/13
臺北市,臺北市私立康靜兒童課後照顧服務中心,(02)2755-4657,臺北市大安區和平東路2段265巷29之1號1樓,102/09/27
臺北市,臺北市私立博偉兒童課後照顧服務中心, (02)2755-5299,臺北市大安區大安路2段142巷1號1樓,102/10/04
